handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
Sacy,Gustavo,Rossi,active,http://static.lolesports.com/players/1691057996587_SEN_SACY.png,SEN,"sova, skye, fade",504.0,,250.5,1.3,,161.8,0.88,0.29,0.09,0.08,25%,13%,FALSE,Male,Brazil,Portuguese,na|sa,valorant champions international
XMS,Alexandre,Forte,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,DVM,"omen, chamber, astra",2364.0,1.04,197.7,1.06,72%,131.0,0.72,0.22,0.08,0.08,30%,14%,FALSE,Male,FRANCE,French,eu,valorant champions international
QutionerX,Doi? 1/2i? 1/2i? 1/2i? 1/2,Dural,active,http://static.lolesports.com/players/1686714419439_EMEA_VCT23_20230318_BBL_QUTIONERX_FRENT.png,EF,"jett, raze, cypher",2653.0,1.09,236.1,1.12,71%,154.0,0.84,0.17,0.18,0.14,25%,15%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
falltw,Alexandr,Chernukhin,active,http://static.lolesports.com/players/1627382540824_placeholder.png,NXT,"omen, breach, viper",2740.0,0.97,202.6,0.96,70%,133.7,0.71,0.28,0.1,0.1,28%,15%,TRUE,Male,Russia,Russian,eu|mn,valorant champions international
Brave,Eren,Kasi? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1686714402987_EMEA_VCT23_20230318_BBL_BRAVE_FRONT.png,EF,"omen, raze, sage",3500.0,0.99,210.9,1.01,71%,136.0,0.73,0.3,0.11,0.1,31%,15%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Ego,Haozun,Yang,active,http://static.lolesports.com/players/1691058447856_Ego.png,GMX,"jett, kayo, raze",562.0,0.91,193.7,0.9,69%,125.5,0.68,0.24,0.11,0.13,26%,8%,FALSE,Male,Scotland,English,eu,valorant champions international
nataNk,Nathan,Bocqueho,active,http://static.lolesports.com/players/1709342721537_M8nataNk-3.png,M8,"kayo, breach, sova",3288.0,1.0,202.8,0.95,71%,133.7,0.69,0.33,0.11,0.13,23%,19%,FALSE,Male,France,French,eu,valorant champions international
vo0kashu,Ilia,Ushakov,active,http://static.lolesports.com/players/1707158301725_DRGvo0kashu.png,DRG,"cypher, killjoy, jett",3046.0,1.14,224.8,1.16,74%,147.5,0.79,0.26,0.1,0.09,27%,18%,FALSE,Male,Russia,Russian,eu,valorant champions international
koldamenta,Jose Luis Aranguren,Herrero,active,http://static.lolesports.com/players/1627377379914_placeholder.png,KOI,"sova, astra, sage",5078.0,0.88,171.7,0.84,71%,111.9,0.57,0.36,0.06,0.08,22%,14%,TRUE,Male,Spain,Spanish,eu,valorant champions international
Art1st,Vyacheslav,Lyadnov,active,http://static.lolesports.com/players/1627381113385_placeholder.png,EZ,"sage, sova, skye",3618.0,0.93,190.2,0.94,70%,123.6,0.66,0.32,0.08,0.08,29%,14%,FALSE,Male,Russia,Russian,eu,valorant champions international
pAura,Melih,Karaduran,active,http://static.lolesports.com/players/1627380180531_placeholder.png,S2G,"cypher, killjoy, sage",5616.0,0.88,190.4,0.95,68%,121.5,0.66,0.22,0.11,0.13,29%,15%,TRUE,Male,Turkey,Turkish,eu,valorant champions international
Cloud,Kirill,Nehozhin,active,http://static.lolesports.com/players/1627382840058_placeholder.png,GX,"sova, skye, raze",5403.0,1.13,230.9,1.14,74%,151.0,0.8,0.29,0.12,0.1,29%,15%,TRUE,Male,Russia,Russian,eu,valorant champions international
suygetsu,Dmitry,Ilyushin,active,http://static.lolesports.com/players/1691657334815__0007_NAVI_SUYGETSU_White_1500x1500_003.png,NAVI,"cypher, viper, killjoy",6538.0,1.09,206,1.15,74%,136.0,0.75,0.21,0.08,0.06,32%,15%,FALSE,Male,RUSSIA,Russian,eu,valorant champions international
Fit1nho,Adolfo,Gallego,active,http://static.lolesports.com/players/1686714623643_EMEA_VCT23_20230320_GIA_FIT1NHO_FRONT.png,GX,"jett, raze, breach",5151.0,1.08,223.5,1.12,73%,141.6,0.78,0.21,0.17,0.14,24%,15%,FALSE,Male,Spain,Spanish,eu,valorant champions international
Shao,Andrey,Kiprsky,active,http://static.lolesports.com/players/1686714056174_EMEA_VCT23_20230319_NAVI_SHAO_FRONT.png,NAVI,"sova, fade, sage",7206.0,1.16,214.3,1.22,76%,138.3,0.76,0.33,0.08,0.06,30%,19%,FALSE,Male,RUSSIA,Russian,eu,valorant champions international
Reazy,Kaan,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyrpek,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BBL,"sova, fade, sage",2851.0,1.0,196,0.98,72%,130.7,0.69,0.29,0.07,0.06,32%,16%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
ardiis,Ardis,Svarenieks,active,http://static.lolesports.com/players/1691657423886__0052_NRG_ardiis_White_1500x1500_006.png,NAVI,"sova, jett, chamber",5090.0,1.08,230.2,1.13,72%,146.9,0.79,0.3,0.13,0.1,21%,14%,FALSE,Male,Latvia,Latvian,eu|na,valorant champions international
Jesse,Adam,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyytvrtnyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyek,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BAR,"sova, omen, viper",4624.0,1.09,214.4,1.09,72%,140.5,0.76,0.3,0.1,0.09,30%,17%,FALSE,Male,Czechia,Czech,eu|oce,valorant champions international
Sayf,Saif,Jibraeel,active,http://static.lolesports.com/players/1627377215076_placeholder.png,VIT,"jett, cypher, killjoy",6633.0,1.14,226.7,1.2,71%,146.4,0.81,0.21,0.13,0.11,23%,16%,FALSE,Male,Sweden,Swedish,eu,valorant champions international
hastack,Sergio,Ferni? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,GG,"killjoy, viper, cypher",709.0,0.98,193.8,0.91,68%,129.3,0.65,0.21,0.09,0.1,22%,11%,FALSE,Male,Spain,Spanish,eu,valorant champions international
trexx,Nikita,Cherednichenko,active,http://static.lolesports.com/players/1643910165275_placeholder.png,VIT,"raze, sova, kayo",4502.0,1.15,234.9,1.16,75%,153.9,0.8,0.34,0.12,0.1,19%,16%,FALSE,Male,Russia,Russian,eu,valorant champions international
hoody,Aaro,Peltokangas,active,http://static.lolesports.com/players/1627376515378_placeholder.png,GX,"sage, jett, skye",5790.0,1.06,216.6,1.08,73%,139.4,0.75,0.29,0.13,0.11,25%,12%,FALSE,Male,Finland,Finnish/Swedish,eu,valorant champions international
vilczek,Robert,Ptok,active,http://static.lolesports.com/players/1648568698860_placeholder.png,ANM,"omen, sage, brimstone",3800.0,0.89,177.6,0.83,72%,115.4,0.59,0.34,0.07,0.09,23%,12%,FALSE,Male,POLAND,Polish,eu,valorant champions international
bonkar,Malkolm,Rench,active,http://static.lolesports.com/players/1627377077116_placeholder.png,NRG,"sova, breach, cypher",4931.0,0.86,157.6,0.81,72%,102.6,0.54,0.35,0.05,0.07,17%,15%,FALSE,Male,SWEDEN,Swedish,eu,valorant champions international
arch,Vladyslav,Svistov,active,http://static.lolesports.com/players/1627382942246_placeholder.png,B8,"breach, sova, sage",3952.0,0.79,158.3,0.74,66%,106.1,0.55,0.28,0.06,0.09,23%,16%,TRUE,Male,Ukraine,Ukrainian,eu,valorant champions international
lauress,Toprak,Kaynak,active,,FF,"killjoy, cypher, sage",4895.0,1.13,225.3,1.17,74%,147.8,0.81,0.22,0.1,0.08,31%,14%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Wailers,Wailers,Locart,active,http://static.lolesports.com/players/1709342762662_M8Wailers-6.png,M8,"omen, astra, viper",1746.0,0.94,166,0.93,72%,111.9,0.6,0.32,0.06,0.05,27%,12%,FALSE,Male,France,French,eu,valorant champions international
nukkye,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyygimantas,Chmieliauskas,active,http://static.lolesports.com/players/1709342041698_GXNukkye-7.png,GX,"raze, sova, jett",5548.0,1.14,240.4,1.18,74%,157.7,0.81,0.28,0.12,0.1,21%,19%,FALSE,Male,Lithuania,Lithuanian,eu,valorant champions international
Twisten,Karel,Ai? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1633033031951_silhouette.png,VIT,"raze, jett, kayo",3497.0,1.05,233.3,1.08,69%,151.3,0.81,0.19,0.19,0.16,25%,11%,FALSE,Male,Czechia,Czech,eu,valorant champions international
Saiz,Daniel,Ruiz Alejos,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BAR,"sova, killjoy, cypher",2104.0,0.93,182.5,0.91,67%,123.2,0.65,0.2,0.08,0.09,35%,14%,FALSE,Male,Spain,Spanish,eu,valorant champions international
Katu,Kacper,Twi? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,FLK,"raze, kayo, skye",5284.0,1.06,216.5,1.06,71%,143.7,0.76,0.26,0.12,0.11,32%,13%,FALSE,Male,Poland,Polish,eu,valorant champions international
MONSTEERR,Ondi? 1/2i? 1/2i? 1/2,Petri? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,ACE,"cypher, killjoy, viper",3349.0,1.08,213.2,1.1,71%,142.6,0.75,0.2,0.08,0.09,25%,16%,FALSE,Male,Czechia,Czech,eu,valorant champions international
STERBEN,Emre,Demirci,active,http://static.lolesports.com/players/1627378334862_placeholder.png,GAL,"omen, viper, astra",5965.0,1.06,205.2,1.06,72%,134.6,0.73,0.33,0.09,0.1,30%,18%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
leaf,Nathan,Orf,active,http://static.lolesports.com/players/1633547542777_silhouette.png,2G4L,"jett, raze, killjoy",439.0,0.9,177.5,0.81,66%,114.3,0.59,0.35,0.06,0.07,16%,10%,FALSE,Male,United States,English,eu|na,valorant champions international
Sheydos,Bogdan,Naumov,active,http://static.lolesports.com/players/1627382716138_placeholder.png,KOI,"sage, raze, skye",5524.0,1.11,213,1.22,75%,138.8,0.77,0.24,0.08,0.06,27%,15%,FALSE,Male,Russia,Russian,eu,valorant champions international
quick,Gabriel,Lima,active,,UCAM,"jett, viper, raze",3329.0,0.87,164.3,0.82,68%,109.7,0.58,0.28,0.06,0.09,28%,12%,TRUE,Male,Spain,Spanish,eu|sa,valorant champions international
benjyfishy,Benjamin David,Fish,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,TH,"killjoy, cypher, jett",3871.0,1.02,203.2,1.07,70%,136.0,0.73,0.18,0.1,0.1,31%,15%,FALSE,Male,United Kingdom,English,eu,valorant champions international
Obnoks,Nico,Garczarczyk,active,http://static.lolesports.com/players/1643910021036_placeholder.png,MOUZ,"skye, omen, killjoy",5844.0,1.02,211.5,1.05,71%,136.7,0.74,0.27,0.09,0.08,27%,14%,FALSE,Male,Germany,German,eu,valorant champions international
kamo,Kamil,Fri? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,TL,"jett, raze, chamber",2524.0,1.11,252.4,1.16,69%,164.4,0.88,0.18,0.19,0.17,29%,16%,FALSE,Male,Poland,Polish,eu,valorant champions international
Mistic,James,Orfila,active,,TL,"omen, viper, astra",6747.0,1.04,191.5,1.07,75%,123.5,0.69,0.33,0.07,0.06,29%,15%,FALSE,Male,United Kingdom,English,eu,valorant champions international
ZE1SH,Ahmed,Radwan,active,,KC,"sage, breach, sova",344.0,0.67,125.9,0.63,63%,83.5,0.45,0.27,0.04,0.08,27%,11%,FALSE,Male,EGYPT,Arabic,eu,valorant champions international
waddle,Taraki,Wadir,archived,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,DSY,"sova, sage, skye",4005.0,1.05,199.6,1.04,73%,132.2,0.69,0.32,0.07,0.07,28%,18%,FALSE,Male,UNITED KINGDOM,English,eu,valorant champions international
sh1n,Ryad,Ensaad,active,http://static.lolesports.com/players/1676284189517_placeholder.png,KC,"astra, omen, sova",3978.0,0.97,183.5,0.95,72%,117.9,0.66,0.32,0.08,0.08,31%,15%,FALSE,Male,FRANCE,French,eu,valorant champions international
KEREME,Przemek,Bogdanowicz,active,http://static.lolesports.com/players/1652954065693_placeholder.png,ESC,"killjoy, sage, viper",1880.0,1.0,185.4,0.95,70%,123.8,0.66,0.23,0.07,0.06,24%,11%,FALSE,Male,POLAND,Polish,eu,valorant champions international
ScreaM,Adil,Benrlitom,active,,KC,"jett, reyna, raze",5594.0,1.14,252.4,1.24,73%,161.7,0.87,0.22,0.17,0.12,33%,13%,FALSE,Male,Belgium,Dutch/French/German,eu,valorant champions international
tomaszy,Tomas,Machado,active,,KC,"neon, jett, viper",2823.0,1.03,229.4,1.08,72%,150.4,0.8,0.24,0.15,0.12,33%,14%,FALSE,Male,Portugal,Portuguese,eu,valorant champions international
Zyppan,Pontus,Eek,active,http://static.lolesports.com/players/1686714066170_EMEA_VCT23_20230319_NAVI_ZYPPAN_FRONT.png,NAVI,"raze, kayo, skye",6982.0,1.05,227.3,1.09,72%,146.0,0.78,0.29,0.13,0.12,27%,16%,FALSE,Male,Sweden,Swedish,eu,valorant champions international
d3ffo,Nikita,Sudakov,active,http://static.lolesports.com/players/1627382684747_placeholder.png,HGE,"jett, raze, skye",5288.0,1.01,216.1,1.1,70%,135.6,0.75,0.18,0.18,0.14,23%,17%,FALSE,Male,Russia,Russian,eu,valorant champions international
baddyG,Kamil,Graniczka,active,,ACE,"omen, viper, astra",4745.0,1.05,210.5,1.04,73%,137.6,0.72,0.35,0.1,0.1,25%,16%,FALSE,Male,Poland,Polish,eu,valorant champions international
Redgar,Igor,Vlasov,active,http://static.lolesports.com/players/1627382771419_placeholder.png,GX,"omen, sova, astra",5729.0,0.88,171.3,0.88,71%,112.2,0.61,0.3,0.08,0.09,31%,15%,TRUE,Male,Russia,Russian,eu,valorant champions international
Meddo,Johan Renbji? 1/2i? 1/2i? 1/2,Lundborg,active,http://static.lolesports.com/players/1627376480628_placeholder.png,SK,"cypher, killjoy, viper",6953.0,1.03,191.7,1.12,74%,126.3,0.7,0.21,0.06,0.05,25%,17%,FALSE,Male,Sweden,Swedish,eu,valorant champions international
Quick,Fabian,Pereira Gomez,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,UCAM,"jett, viper, raze",3329.0,0.87,164.3,0.82,68%,109.7,0.58,0.28,0.06,0.09,28%,12%,TRUE,Male,Spain,Spanish,eu|sa,valorant champions international
Destrian,Tomas,Linikas,active,http://static.lolesports.com/players/1686714343147_EMEA_VCT23_20230323_VIT_DESTRIAN_FRONT.png,HGE,"sova, breach, omen",4121.0,0.96,180.4,0.92,72%,121.4,0.62,0.36,0.07,0.07,24%,16%,FALSE,Male,Lithuania,Lithuanian,eu,valorant champions international
mojj,Bui? 1/2i? 1/2i? 1/2,Kiraz,active,http://static.lolesports.com/players/1627378000802_placeholder.png,EF,"killjoy, cypher, viper",6283.0,0.99,198.2,1.02,70%,132.9,0.7,0.23,0.09,0.08,29%,16%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
logaN,Logan,Corti,active,http://static.lolesports.com/players/1709342675355_M8LogaNNNN-6.png,M8,"killjoy, sage, viper",4897.0,1.08,203,1.13,74%,133.7,0.72,0.18,0.08,0.07,25%,13%,FALSE,Male,France,French,eu|na,valorant champions international
Kicks,Kimmie,Laasner,active,http://static.lolesports.com/players/1709343765912_VITKicks-1.png,VIT,"skye, kayo, sage",3431.0,1.04,200.7,1.02,72%,129.0,0.71,0.38,0.07,0.08,23%,18%,FALSE,Male,Estonia,Estonian,eu,valorant champions international
pipsoN,Daniil,Meshcheriakov,active,http://static.lolesports.com/players/1691659194562__0001_GIANTS_pipsoN_White_1500x1500_002.png,GX,"sova, brimstone, breach",952.0,0.71,171.2,0.83,63%,111.2,0.59,0.28,0.05,0.09,26%,9%,FALSE,Male,RUSSIA,Russian,eu,valorant champions international
Muj,Serhat,Yi? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1686714575095_EMEA_VCT23_20230322_FUT_MUJ_PIC01_front.png,S2G,"sova, skye, raze",2967.0,0.97,201,0.99,71%,131.9,0.7,0.24,0.12,0.11,26%,13%,FALSE,Male,TURKEY,Turkish,eu,valorant champions international
Erik,Erik,Sandgren,active,http://static.lolesports.com/players/1691657320274__0009_NAVI_d00mbr0s_White_1500x1500_015.png,HOME,"raze, jett, sova",813.0,1.01,219.6,0.98,70%,143.0,0.74,0.29,0.12,0.11,20%,15%,FALSE,Male,Czechia,Czech,eu,valorant champions international
jannyXD,Joao,Daniel Costa,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,RBT,"jett, raze, chamber",3230.0,1.05,227.3,1.11,71%,144.8,0.81,0.17,0.18,0.16,25%,17%,FALSE,Male,Portugal,Portuguese,eu,valorant champions international
ec1s,Adam,Eccles,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,MU,"omen, breach, viper",3224.0,1.03,186.7,0.95,73%,121.0,0.64,0.35,0.08,0.09,23%,14%,TRUE,Male,United Kingdom,English,ap|eu|na,valorant champions international
Negradas,Alejandro,Pi? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,SZK,"jett, raze, phoenix",238.0,0.84,164.4,0.77,63%,115.5,0.58,0.24,0.06,0.09,30%,14%,FALSE,Male,SPAIN,Spanish,eu,valorant champions international
qw1,Konur Alp,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyahin,active,http://static.lolesports.com/players/1691659091998__0045_FUT_qw1_White_1500x1500_008.png,FF,"jett, raze, neon",5105.0,1.04,226.5,1.15,69%,143.1,0.82,0.13,0.19,0.16,27%,15%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
qRaxs,Doi? 1/2i? 1/2i? 1/2i? 1/2,Balaban,active,http://static.lolesports.com/players/1627378028842_placeholder.png,FUT,"kayo, sage, raze",6560.0,1.01,196.1,1.02,73%,126.7,0.71,0.33,0.07,0.07,31%,13%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Chronicle,Timofey,Khromov,active,http://static.lolesports.com/players/1627382637953_placeholder.png,FNC,"sova, viper, breach",7181.0,1.13,221.1,1.17,75%,144.3,0.76,0.34,0.1,0.09,24%,16%,FALSE,Male,Russia,Russian,eu,valorant champions international
Lightning,Abhirup,Choudhury,active,http://static.lolesports.com/players/1633618369800_silhouette.png,CLS,"sova, breach, cypher",246.0,0.87,182.9,0.8,62%,119.1,0.63,0.24,0.11,0.13,25%,12%,FALSE,Male,RUSSIA,Russian,eu|na,valorant champions international
Ruxic,Ui? 1/2i? 1/2i? 1/2,Gi? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,FF,"viper, omen, kayo",3140.0,1.1,209.5,1.1,75%,138.4,0.73,0.38,0.09,0.08,28%,16%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
AvovA,Auni,Chahade,active,http://static.lolesports.com/players/1627377331225_placeholder.png,APK,"omen, astra, viper",6432.0,1.02,184.6,1.04,73%,118.9,0.67,0.31,0.07,0.08,28%,20%,FALSE,Male,Denmark,Danish,eu,valorant champions international
HUMANZ,Jose Luis,Cebrii? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,SZK,"breach, sova, kayo",1284.0,0.87,169.4,0.8,66%,112.4,0.6,0.29,0.06,0.08,33%,13%,FALSE,Male,SPAIN,Spanish,eu,valorant champions international
Rexs,Josi? 1/2i? 1/2,Castellano Jaramago,active,http://static.lolesports.com/players/1649754116537_placeholder.png,LK,"omen, astra, viper",1117.0,0.9,186.3,0.85,68%,120.7,0.65,0.3,0.09,0.1,31%,14%,FALSE,Male,Spain,Spanish,eu,valorant champions international
cNed,Mehmet Yai? 1/2i? 1/2i? 1/2i? 1/2,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyypek,active,http://static.lolesports.com/players/1686714045677_EMEA_VCT23_20230319_NAVI_CNED_FRONT.png,FUT,"jett, raze, sage",7204.0,1.16,245.6,1.24,72%,155.4,0.88,0.17,0.17,0.13,26%,13%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Russ,Russel,Mendes,active,http://static.lolesports.com/players/1707180607643_19_GE_Russ_200187.png,S2G,"sage, skye, breach",4403.0,1.05,225.3,1.12,72%,145.8,0.81,0.17,0.15,0.12,29%,13%,FALSE,Male,United Kingdom,English,ap|eu,valorant champions international
Aslan,Ceyhun,Aslan,active,https://lolstatic-a.akamaihd.net/esports-assets/production/player/aslan-7nd6ux13.png,S2G,"jett, viper, raze",3687.0,1.02,212.4,1.06,69%,136.1,0.74,0.25,0.12,0.11,25%,16%,FALSE,Male,Germany,German,eu,valorant champions international
Kamisseq,Kamil,Lepper,active,http://static.lolesports.com/players/1648568765995_placeholder.png,RBT,"omen, chamber, sova",2515.0,1.06,212.7,1.06,71%,139.7,0.75,0.28,0.11,0.1,30%,12%,FALSE,Male,Poland,Polish,eu,valorant champions international
BONECOLD,Santeri,Sassi,active,http://static.lolesports.com/players/1627376794175_placeholder.png,VIT,"omen, sova, brimstone",4327.0,0.91,182,0.93,70%,115.5,0.64,0.27,0.09,0.11,30%,21%,FALSE,Male,Finland,Finnish/Swedish,eu,valorant champions international
reazy,yyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyrpek,Kaan,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BBL,"sova, fade, sage",2851.0,1.0,196,0.98,72%,130.7,0.69,0.29,0.07,0.06,32%,16%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
Phardon,Brandon,Perez Testa,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,FMG,"killjoy, raze, viper",1686.0,0.83,187.4,0.82,64%,122.1,0.65,0.23,0.08,0.12,24%,17%,FALSE,Male,VENEZUELA,Spanish,eu,valorant champions international
Rhyme,Emir,Muminovic,active,http://static.lolesports.com/players/1633033031951_silhouette.png,GIA,"raze, cypher, sova",3971.0,0.99,207.2,1.0,72%,133.7,0.71,0.29,0.11,0.12,31%,13%,FALSE,Male,Norway,Norwegian,eu,valorant champions international
nAts,Ayaz,Akhmetshin,active,http://static.lolesports.com/players/1627382740181_placeholder.png,TL,"cypher, viper, killjoy",5982.0,1.11,224.1,1.2,73%,143.6,0.8,0.25,0.09,0.08,29%,15%,FALSE,Male,Russia,Russian,eu,valorant champions international
DRK,Lorenzo Felix,Gabriel,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,SR,"sova, fade, cypher",617.0,0.74,145.5,0.68,63%,98.6,0.51,0.22,0.04,0.08,23%,7%,FALSE,Male,CHINA,Mandarin,eu,valorant champions international
draken,William Fant,Sundin,active,http://static.lolesports.com/players/1627377253381_placeholder.png,GLD,"omen, sova, jett",2182.0,1.04,203.6,1.06,73%,129.3,0.71,0.25,0.1,0.09,25%,14%,FALSE,Male,Sweden,Swedish,eu,valorant champions international
rhyme,Emir,Muminovic,active,http://static.lolesports.com/players/1633033031951_silhouette.png,GIA,"raze, cypher, sova",3971.0,0.99,207.2,1.0,72%,133.7,0.71,0.29,0.11,0.12,31%,13%,FALSE,Male,Norway,Norwegian,eu,valorant champions international
SUYGETSU,Dmitry,Ilyushin,active,http://static.lolesports.com/players/1627381091852_placeholder.png,NAVI,"cypher, viper, killjoy",6538.0,1.09,206,1.15,74%,136.0,0.75,0.21,0.08,0.06,32%,15%,FALSE,Male,RUSSIA,Russian,eu,valorant champions international
beyAz,Beyazi? 1/2i? 1/2,Ki? 1/2i? 1/2i? 1/2i? 1/2,active,http://static.lolesports.com/players/1709342610548_M8beyAz-7.png,M8,"sova, raze, skye",2530.0,0.9,170.4,0.87,72%,113.9,0.58,0.34,0.05,0.07,22%,17%,TRUE,Male,France,French,eu,valorant champions international
LATEKS,Oliwer,Fahlander,active,http://static.lolesports.com/players/1686714051018_EMEA_VCT23_20230319_NAVI_LATEKS_asstCOACH_FRONT.png,NAVI,"omen, brimstone, astra",2304.0,0.8,171.6,0.82,70%,111.1,0.59,0.3,0.07,0.09,20%,16%,FALSE,Male,SWEDEN,Swedish,eu,valorant champions international
TakaS,Jonathan,Paupard,active,,M8,"jett, raze, sova",4538.0,1.04,224.5,1.09,69%,141.7,0.78,0.22,0.15,0.15,20%,20%,FALSE,Male,France,French,eu,valorant champions international
RieNs,Esad Enes,Ecirli,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,TH,"sova, breach, skye",5564.0,1.03,199.8,1.02,73%,133.0,0.7,0.33,0.08,0.08,33%,18%,FALSE,Male,Turkey,Turkish,eu,valorant champions international
AslaN,Ceyhun,Aslan,active,https://lolstatic-a.akamaihd.net/esports-assets/production/player/aslan-7nd6ux13.png,S2G,"jett, viper, raze",3687.0,1.02,212.4,1.06,69%,136.1,0.74,0.25,0.12,0.11,25%,16%,FALSE,Male,Germany,German,eu,valorant champions international
Moe40,Muhammad,Hariff,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,XL,"sova, sage, jett",3331.0,1.07,209.4,1.09,74%,139.5,0.73,0.32,0.09,0.08,29%,18%,FALSE,Male,United Kingdom,English,eu,valorant champions international
Trexx,Nikita,Cherednichenko,active,http://static.lolesports.com/players/1643910165275_placeholder.png,VIT,"raze, sova, kayo",4502.0,1.15,234.9,1.16,75%,153.9,0.8,0.34,0.12,0.1,19%,16%,FALSE,Male,Russia,Russian,eu,valorant champions international
Davidp,David,Prins,active,http://static.lolesports.com/players/1627376572109_placeholder.png,NSR.I,"sage, omen, viper",4596.0,1.03,193.4,1.05,74%,122.7,0.68,0.35,0.08,0.09,20%,16%,FALSE,Male,BELGIUM,Dutch/French/German,eu,valorant champions international
ANGE1,Kyrylo,Karasov,active,http://static.lolesports.com/players/1709342887541_NAVIANGE1-7.png,NAVI,"omen, brimstone, viper",6991.0,0.83,189.8,0.86,67%,121.7,0.65,0.27,0.12,0.14,30%,15%,TRUE,Male,Ukraine,Ukrainian,eu,valorant champions international
xuss,Tselmeg,Tsolmon,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,MOUZ,"jett, raze, reyna",6529.0,1.05,231.4,1.1,69%,147.1,0.82,0.14,0.18,0.15,25%,12%,FALSE,Male,Poland,Polish,eu,valorant champions international
Jady,Yaroslav,Nikolaev,active,http://static.lolesports.com/players/1643910313000_placeholder.png,ZER,"sage, sova, kayo",4239.0,1.1,221.9,1.15,74%,143.3,0.79,0.31,0.09,0.07,32%,13%,FALSE,Male,Russia,Russian,eu,valorant champions international
hugeon,Denis,Vasiliev,active,http://static.lolesports.com/players/1627381050874_placeholder.png,KBG,"breach, skye, sova",3146.0,0.95,179.7,0.99,70%,117.1,0.64,0.34,0.06,0.06,28%,13%,FALSE,Male,RUSSIA,Russian,eu,valorant champions international
runneR,Emil,Trajkovski,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,VIT,"raze, jett, chamber",3379.0,1.09,234.4,1.12,72%,151.5,0.8,0.25,0.16,0.13,23%,17%,FALSE,Male,North Macedonia,Macedonian,eu,valorant champions international
