handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions,league
shina,Jayvee Michaela,Garcia,active,,4F,"killjoy, chamber, cypher",782.0,0.97,194,0.94,66%,132.3,0.68,0.17,0.11,0.09,28%,17%,FALSE,Female,PHILIPPINES,Filipino/English,ap,valorant game changers
toffywoffy,Tiffany,Lim,active,,DVT,"killjoy, sova, fade",816.0,0.86,181.9,0.8,63%,125.7,0.61,0.24,0.1,0.11,20%,16%,FALSE,Female,SINGAPORE,English/Malay/Mandarin/Tamil,ap,valorant game changers
Skel,Syeda Ayesha Samman,Shah,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,SRN,"killjoy, sova, breach",512.0,0.79,173.3,0.72,65%,120.8,0.58,0.29,0.07,0.12,22%,8%,FALSE,Female,PAKISTAN,Urdu,ap,valorant game changers
BriTSy,Iqra,Khan,active,,ALM.D,"Sova, Breach, kayo",380.0,0.74,147.4,0.65,62%,104.2,0.5,0.28,0.03,0.07,20%,12%,FALSE,Female,Pakistan,Urdu,ap,valorant game changers
phi,Phi,Espino,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,SZE,"omen, viper, breach",225.0,0.66,155.4,0.67,60%,100.5,0.52,0.21,0.07,0.18,22%,13%,FALSE,Female,AUSTRALIA,English,ap|oce,valorant game changers
Arki,Zeireen Jadee,Romaraog,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,AVN.GC,"breach, cypher, sova",304.0,0.84,170.8,0.76,64%,114.3,0.6,0.34,0.05,0.1,19%,10%,FALSE,Female,PHILIPPINES,Filipino/English,ap,valorant game changers
Pigruto,Xu,Tenia,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,CBD,"sova, killjoy, cypher",384.0,0.59,122.8,0.53,54%,85.9,0.42,0.16,0.04,0.1,22%,9%,FALSE,Female,SINGAPORE,English/Malay/Mandarin/Tamil,ap,valorant game changers
Rose,Eren,Erzan,active,http://static.lolesports.com/players/1646063921215_placeholder.png,N2F,"Breach, Omen, Viper",729.0,0.79,149.7,0.67,68%,97.5,0.51,0.43,0.04,0.04,21%,14%,FALSE,Male,India,Hindi/English,ap|na,valorant game changers
kon,Loraine Nicole,Pagente,active,,SISU,"Sova, Omen, Skye",1949.0,1.05,215.1,1.02,70%,147.0,0.75,0.28,0.09,0.09,31%,11%,FALSE,Female,Philippines,Filipino/English,ap,valorant game changers
Angela,Petrovic,Angela,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NF,"raze, jett, kayo",874.0,0.95,220.2,0.99,69%,142.3,0.76,0.21,0.16,0.2,20%,13%,FALSE,Female,THAILAND,Thai,ap,valorant game changers
ruu,Elva,Koh,active,,ARF.S,"raze, killjoy, sage",269.0,0.75,160.9,0.68,64%,107.1,0.53,0.22,0.04,0.09,18%,11%,FALSE,Female,SINGAPORE,English/Malay/Mandarin/Tamil,ap,valorant game changers
Kon,Loraine Nicole,Pagente,active,,SISU,"sova, skye, fade",1949.0,1.05,215.1,1.02,70%,147.0,0.75,0.28,0.09,0.09,31%,11%,FALSE,Female,Philippines,Filipino/English,ap,valorant game changers
Kathrina,Kathrina Kaye M,Catap,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+1),"skye, sova, gekko",304.0,0.84,178.7,0.75,67%,114.1,0.59,0.33,0.04,0.11,15%,15%,FALSE,Female,PHILIPPINES,Filipino/English,ap,valorant game changers
scaroo,Keane,Andiani,active,http://static.lolesports.com/players/1651480750446_silhouette_transparent.png,BIGG,"raze, jett, phoenix",219.0,0.79,181.1,0.73,65%,117.8,0.58,0.26,0.13,0.14,20%,13%,FALSE,Male,INDONESIA,Indonesian,ap,valorant game changers
Bugsy,Alessandra Mae G.,Godoy,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+4),"breach, viper, omen",367.0,0.99,204.2,0.98,71%,130.1,0.73,0.32,0.09,0.09,27%,6%,FALSE,Female,PHILIPPINES,Filipino/English,ap,valorant game changers
Dyummy,Thansuda,Prayong,active,,FS.P,"sage, omen, astra",496.0,0.8,159.5,0.75,67%,104.9,0.59,0.4,0.06,0.09,26%,6%,FALSE,Female,THAILAND,Thai,ap,valorant game changers
Sou,Sarah,Abdelfattah,active,http://static.lolesports.com/players/1633033031951_silhouette.png,ARC,"sova, cypher, killjoy",843.0,0.75,154.5,0.71,64%,104.4,0.54,0.24,0.05,0.1,23%,13%,FALSE,Female,EGYPT,Arabic,ap|mn,valorant game changers
