handle,first_name,last_name,status,photo_url,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage,igl,gender,country,primary_language,regions
vibhoRR,Vibhor,Shivkumar Vaid,active,http://static.lolesports.com/players/1678181253004_placeholder.png,MDL,"killjoy, viper, cypher",5796,0.91,185.8,0.91,70%,120.1,0.64,0.25,0.07,0.09,24%,19%,FALSE,Male,INDIA,Hindi/English,
rageee,Trung Hieu,Le,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,CKE,"viper, skye, omen",226,0.82,180.4,0.77,65%,112.2,0.61,0.31,0.04,0.08,31%,9%,FALSE,Male,INDIA,Hindi/English,
riyabtw,"Cho-Ming, FREDDIE",Liu,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+5),"raze, jett, neon",629,0.91,194.3,0.9,65%,129.8,0.69,0.19,0.12,0.17,28%,9%,FALSE,Male,Hong Kong,Cantonese/English,
Inf,Venneth Tay,Kai Yi,active,http://static.lolesports.com/players/1682925816597_placeholder.png,TM,"killjoy, cypher, kayo",714,0.85,185.5,0.87,61%,126.7,0.67,0.14,0.09,0.15,25%,13%,FALSE,Male,Singapore,English/Malay/Mandarin/Tamil,
blurred,Shaun Matthew,Magsalang,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,GEEK,"jett, chamber, raze",2346,0.99,207.9,1,68%,134.8,0.74,0.19,0.13,0.13,19%,16%,FALSE,Male,Philippines,Filipino/English,
zhen,chia ying,tseng,active,http://static.lolesports.com/players/1679910251118_placeholder.png,(+1),"jett, raze, neon",418,0.97,219,0.98,66%,150,0.78,0.16,0.22,0.2,31%,6%,FALSE,Female,TAIWAN,Mandarin,
saun,Saunskar ,Sane,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,OGS,"omen, kayo, breach",798,0.88,177.7,0.81,64%,119.1,0.63,0.32,0.08,0.13,25%,22%,FALSE,Male,TAIWAN,Mandarin,
Eeyore,Kevin,Gunawan,active,http://static.lolesports.com/players/1628490519654_1599762334741_silhouette.png,AE,"killjoy, cypher, viper",3931,0.94,196.3,0.95,68%,128.4,0.69,0.22,0.09,0.11,21%,16%,FALSE,Male,Indonesia,Indonesian,
hvoya,Aleksandr,Eremin,active,http://static.lolesports.com/players/1627381542624_placeholder.png,XLG,"sova, killjoy, cypher",1107,1.14,220.3,1.16,71%,148.6,0.78,0.29,0.09,0.07,28%,16%,FALSE,Male,RUSSIA,Russian,
Tempz,Pierre,Heng,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,BBG,"skye, breach, kayo",2679,0.96,194.2,0.92,72%,127.3,0.67,0.36,0.08,0.1,25%,12%,FALSE,Male,Singapore,English/Malay/Mandarin/Tamil,
Jarpix,Justin,Pooi,active,,FAT,"sova, skye, jett",1847,0.95,196.4,0.93,69%,129.5,0.68,0.32,0.08,0.09,22%,14%,FALSE,Male,SINGAPORE,English/Malay/Mandarin/Tamil,
Japips,Jefferlynne,Hernandez,active,,ACEK,"sova, breach, reyna",2228,1.02,192.3,0.99,73%,126,0.69,0.33,0.05,0.07,26%,12%,FALSE,Female,Philippines,Filipino/English,
CortezZ,Shubham,Chhatre,active,http://static.lolesports.com/players/1682507626965_placeholder.png,AR,"sova, jett, killjoy",902,0.81,165.9,0.76,64%,109.8,0.59,0.2,0.08,0.1,25%,7%,FALSE,Male,India,Hindi/English,
Louboutin,Gia Khï¿½ï¿½ï¿½,Phï¿½ï¿½ï¿½,active,,BAAM,"chamber, jett, killjoy",661,0.85,186.1,0.82,62%,126.8,0.66,0.18,0.08,0.11,27%,10%,FALSE,Female,VIETNAM,Vietnamese,
rawfiul,Akram Husain ,Virani,active,http://static.lolesports.com/players/1654674106174_placeholder.png,MOGO,"jett, chamber, sova",7543,1.14,245.7,1.21,70%,156.9,0.87,0.15,0.18,0.13,33%,16%,FALSE,Male,India,Hindi/English,
xhum0n,Hayden,Heng Aek,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NOM,"jett, raze, chamber",269,0.92,217.2,0.88,66%,142.2,0.77,0.17,0.19,0.15,20%,10%,FALSE,Male,SINGAPORE,English/Malay/Mandarin/Tamil,
N1ER,Ren Allen,Gonito,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,(+3),"jett, raze, sage",327,0.84,197,0.84,64%,131.6,0.69,0.16,0.15,0.12,26%,16%,FALSE,Male,SINGAPORE,English/Malay/Mandarin/Tamil,
no1syboy,SERGIO,SERGIO,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,ARF,"breach, killjoy, kayo",4603,0.92,183.6,0.87,71%,119.4,0.63,0.3,0.07,0.09,20%,12%,FALSE,Male,Indonesia,Indonesian,
KhanBigD,Khan,Wautier,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,INFN,"sova, jett, sage",1130,0.85,182.3,0.82,65%,119.8,0.63,0.23,0.1,0.12,29%,11%,FALSE,Male,THAILAND,Thai,
Sentinal,Trï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Nguyï¿½ï¿½ï¿½,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NHG,"cypher, sova, killjoy",558,1.19,187.4,0.93,80%,116.6,0.65,0.27,0.07,0.07,14%,21%,FALSE,Male,Vietnam,Vietnamese,
Ryu,AMADEO,sumampouw,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,PDF,"breach, skye, sova",426,0.88,175.7,0.86,67%,119.4,0.62,0.24,0.06,0.08,32%,23%,FALSE,Male,Mexico,Spanish,
Kevzii,Franz Kevin,Dingal,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,ZOL,"sova, omen, fade",3211,1.05,199.2,1.01,71%,136.6,0.7,0.32,0.07,0.07,29%,15%,FALSE,Male,PHILIPPINES,Filipino/English,
traNz,Muhammad ,Anas,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,PURR,"killjoy, chamber, astra",697,0.97,205.6,0.95,66%,139.1,0.73,0.15,0.12,0.13,32%,9%,FALSE,Male,PHILIPPINES,Filipino/English,
ngk,Yee-Chong,Teo,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,ONE,"jett, omen, raze",372,0.99,217.6,0.99,68%,141.7,0.76,0.22,0.15,0.15,27%,9%,FALSE,Male,PAKISTAN,Urdu,
Hakka,Raja Amirul Shah Bin Raja Badrin Shah,Badrin Shah,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,NXGA,"viper, omen, killjoy",355,0.94,171.8,0.87,71%,117.6,0.6,0.3,0.08,0.06,31%,16%,FALSE,Male,Malaysia,Malay,
Tryst,Jit Dutta ,Choudhury,active,http://static.lolesports.com/players/1682598860941_placeholder.png,MDL,"killjoy, viper, kayo",2366,0.91,186.9,0.88,70%,120.8,0.65,0.31,0.08,0.08,24%,14%,FALSE,Male,INDIA,Hindi/English,
Impecunity,Randy Yap Jin Hong,Yap ,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,NXGA,"jett, killjoy, raze",582,0.94,189.4,0.95,66%,127.5,0.69,0.15,0.11,0.12,25%,11%,FALSE,Male,INDIA,Hindi/English,
LuciA,Anil Kumar,Kumar,active,http://static.lolesports.com/players/1678184722124_placeholder.png,LES,"omen, brimstone, viper",1322,0.91,186.7,0.88,67%,125.1,0.66,0.3,0.06,0.08,21%,16%,FALSE,Male,SINGAPORE,English/Malay/Mandarin/Tamil,
karam1L,Norbu ,Tsering,active,http://static.lolesports.com/players/1678963752628_placeholder.png,NES,"killjoy, cypher, chamber",1872,1,209.8,1.03,67%,140.8,0.75,0.17,0.13,0.12,35%,8%,FALSE,Male,India,Hindi/English,
Dolph,Aungsuwanpanich,Kanittha,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,WSF,"raze, jett, sova",483,0.9,192.1,0.86,67%,135.5,0.64,0.24,0.13,0.16,22%,10%,FALSE,Female,THAILAND,Thai,
Something,IIyaAleksandrovich,Petrov,active,,PRX,"jett, reyna, gekko",2811,1.1,219.1,1.15,73%,140.2,0.78,0.22,0.17,0.13,25%,13%,FALSE,Male,Russia,Russian,
rosey,Marksup,Natchanan,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NE,"killjoy, omen, viper",1007,0.98,197.8,0.94,71%,132.4,0.67,0.32,0.08,0.09,18%,13%,FALSE,Male,THAILAND,Thai,
damaraa,Damara,Danuardi Prasetyo,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,LCR,"raze, jett, reyna",878,0.95,222.6,0.96,69%,145.6,0.76,0.19,0.15,0.19,24%,12%,FALSE,Male,THAILAND,Thai,
Alfin,Jun Rong,Alvin Ong,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,AVM,"killjoy, chamber, omen",337,0.9,174.8,0.89,65%,112.7,0.62,0.2,0.09,0.11,13%,6%,FALSE,Male,INDONESIA,Indonesian,
Floatqq,LIU ZHI ,XIANG,active,http://static.lolesports.com/players/1628566640770_1599762334741_silhouette.png,XLG,"skye, breach, sova",966,0.82,185.1,0.88,67%,121,0.65,0.21,0.07,0.08,19%,8%,FALSE,Male,Taiwan,Mandarin,
aduka,Muhammad Arsyad,Bin Md Sazali,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NXGA,"jett, killjoy, cypher",3768,1.02,219.5,1,69%,144.1,0.76,0.23,0.15,0.15,22%,12%,FALSE,Male,Malaysia,Malay,
Persia,Yang,Zion,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,SPG,"omen, killjoy, astra",886,0.92,203.4,0.94,67%,131.3,0.67,0.27,0.11,0.11,22%,10%,FALSE,Male,South Korea,Korean,
Blas,Simon Jimuel,Blas,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,MLT,"killjoy, sage, kayo",1011,0.93,183.7,0.9,68%,122.1,0.65,0.25,0.08,0.07,22%,12%,FALSE,Male,Philippines,Filipino/English,
ROLEX,Warittorn,Kalanukan,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,XIA,"killjoy, viper, jett",2162,0.95,197.5,0.94,69%,131.1,0.67,0.23,0.1,0.1,22%,14%,FALSE,Male,Thailand,Thai,
HOWBOUDAT,Phan,Vï¿½ï¿½ï¿½ï¿½ï¿½,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NTLN,"jett, sage, raze",210,0.68,178.4,0.66,55%,113.6,0.58,0.2,0.13,0.2,15%,11%,FALSE,Male,VIETNAM,Vietnamese,
Amenhola,LI FU ,TENG,active,http://static.lolesports.com/players/1628490829630_1599762334741_silhouette.png,INM,"astra, sova, omen",598,0.8,176,0.74,60%,112.9,0.58,0.28,0.08,0.08,15%,8%,FALSE,Male,Taiwan,Mandarin,
GabbyDiz,Gabriel Ezekiel,Dizon,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,Balb,"jett, omen, raze",262,0.96,214.8,0.98,70%,141.9,0.76,0.34,0.08,0.12,26%,5%,FALSE,Male,PHILIPPINES,Filipino/English,
MERjie,Aomsin,Petchkong,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,VLTH,"jett, raze, kayo",739,0.82,175.5,0.75,66%,115.8,0.59,0.29,0.07,0.12,23%,12%,FALSE,Female,THAILAND,Thai,
Hemsyxx,Mikko Andrei,Gumapac,active,http://static.lolesports.com/players/1683009287414_placeholder.png,CE,"viper, sova, omen",263,0.83,185.8,0.77,65%,125.7,0.62,0.29,0.08,0.11,29%,15%,FALSE,Male,THAILAND,Thai,
Tara,Ryona,Shannen,active,http://static.lolesports.com/players/1663754633124_placeholder.png,XIP,"sage, omen, astra",1656,1.02,183.5,1.09,77%,119.2,0.65,0.39,0.06,0.07,23%,17%,FALSE,Female,France,French,
Mojer,Evangelista,Federico,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,NAOS,"raze, jett, killjoy",3208,1.06,227.8,1.07,73%,149,0.77,0.23,0.14,0.14,23%,19%,FALSE,Male,Philippines,Filipino/English,
sixelaoen,Darren ,Neoalexis Wiryadinata,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,CLWN,"omen, cypher, killjoy",488,0.82,163.6,0.72,61%,109.7,0.56,0.27,0.05,0.08,30%,8%,FALSE,Male,INDONESIA,Indonesian,
dragy,Febrian,Febrian,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,CNL,"raze, jett, omen",2035,0.92,200.3,0.87,67%,135.1,0.69,0.27,0.13,0.12,23%,12%,TRUE,Male,INDONESIA,Indonesian,
BE,Bat-Enkh,Tsedendamba,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,KBLD,"skye, omen, sova",492,0.84,157,0.8,69%,101.9,0.57,0.32,0.07,0.09,36%,21%,FALSE,Male,INDONESIA,Indonesian,
Sozi,Nguyï¿½ï¿½ï¿½ï¿½,Long,active,http://static.lolesports.com/players/1628491249660_1599762334741_silhouette.png,RN,"omen, astra, viper",695,1.06,212.2,0.99,69%,136.4,0.74,0.24,0.07,0.08,25%,9%,FALSE,Male,VIETNAM,Vietnamese,
Deathmaker,Debanjan ,Das,active,,MOGO,"jett, chamber, raze",7486,1.14,244.7,1.22,70%,158.5,0.87,0.16,0.19,0.15,30%,13%,FALSE,Male,India,Hindi/English,
kongared,Nantapol ,Boonying,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,SG,"skye, kayo, omen",7533,0.92,186.3,0.93,72%,121,0.66,0.3,0.07,0.08,26%,17%,FALSE,Male,Thailand,Thai,
Ronnie,Gia Phï¿½ï¿½,Trï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,MEAP,"sova, sage, reyna",230,0.76,151.5,0.66,60%,101.1,0.52,0.34,0.04,0.07,16%,6%,FALSE,Female,POLAND,Polish,
Kawsoy,Teerapong,Yairit,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,GD,"astra, omen, sage",555,0.85,188.5,0.87,68%,122.9,0.65,0.26,0.08,0.1,20%,9%,FALSE,Male,Thailand,Thai,
BraiNfreeZe,Zachary Garret,Bajarias,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,GEEK,"sova, viper, omen",1735,0.88,163.3,0.83,68%,110.3,0.57,0.3,0.05,0.07,25%,14%,FALSE,Male,Philippines,Filipino/English,
maitee,Teerachot,Kittimankong,active,http://static.lolesports.com/players/1643734200321_silhouette_transparent.png,47,"sova, astra, cypher",1220,0.93,188,0.88,71%,124.8,0.64,0.26,0.07,0.08,23%,16%,FALSE,Male,THAILAND,Thai,
Sovano,Alvin Daniel,Oronce,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,APH,"jett, raze, omen",277,0.88,213.2,0.91,66%,140.5,0.74,0.14,0.15,0.25,28%,6%,FALSE,Male,PHILIPPINES,Filipino/English,
falfalfal,alex ,cheang,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,BOBA,"omen, brimstone, astra",2566,0.82,163.3,0.86,66%,102.5,0.59,0.24,0.07,0.09,30%,15%,FALSE,Male,SINGAPORE,English/Malay/Mandarin/Tamil,
yatoro,Muhammad ,Alif Razaqi,active,https://s3.us-west-2.amazonaws.com/static.lolesports.com/players/default-headshot.png,ETH,"raze, viper, skye",654,0.81,173.4,0.75,63%,121.6,0.6,0.25,0.07,0.1,25%,11%,FALSE,Male,INDONESIA,Indonesian,
Hukz,Tsun Tung,HO,active,http://static.lolesports.com/players/1679909456147_placeholder.png,AES,"killjoy, cypher, breach",425,0.75,170,0.71,63%,113.4,0.58,0.18,0.07,0.1,21%,6%,FALSE,Male,HONG KONG,Cantonese/English,
Pixelzz,Aditya,Gulhane,active,http://static.lolesports.com/players/1678186059231_placeholder.png,T69,"astra, omen, viper",2418,0.89,179,0.85,66%,117.6,0.63,0.28,0.07,0.1,25%,18%,FALSE,Male,India,Hindi/English,
